"publicdesc";"groupdesc";"privatedesc"
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Enlargement of the temporal horn (also called inferior horn) of the lateral ventricles 1, 2. This enlargement can either be symmetric as well as asymmetric. The higher the rates of ventricular enlargement are in healthy persons, the greater is relative hazard for AD3, 4. When examining the volume of the temporal horn, age should be taken into account, because the size of the temporal horn increases with increasing age 5.
Yearly measurements of  the temporal horn in alzheimer patients have shown a 14.16 /-8.47 percentage increase per year (p = 0.002)6. 
Enlargement of the temporal horn is caused by atrophy in the hippocampal, amygdala and entorhinal, perirhinal and parahippocampal cortices in the temporal lobe.";"Fill in your group notes here.";"volumetry, enlargment, aging, Atrophy in: hippocampus, Amygdala,Amydala-hippocampal complex,	Enthorhinal cortex, Perirhinal cortex,  parahippocampus"
"Diffuse cerebral atrophy increases with the progress of clinical stage of Alzheimer patients. Atrophy should be looked at relative to what is normal, correct for head size, age5, and some studies also correct for gender, however Mu et al5 found no differences in gender. Although global cerebral atrophy is found in Alzheimer patients 1,7, some parts of the brain are affected worse than other parts, especially the medial temporal lobe area is affected8. Atrophy can be found in the hippocampal, amygdala and entorhinal, perirhinal and parahippocampal cortices in the temporal lobe. Atrophy in these areas results in enlargement of the temporal horn.";"Fill in your group notes here.";"volumetry, enlargment, aging, Atrophy in: hippocampus, Amygdala, Amydala-hippocampal complex,	Enthorhinal cortex, Perirhinal cortex, parahippocampus"
"Diffuse cerebral atrophy increases with the progress of clinical stage of Alzheimer patients. Atrophy should be looked at relative to what is normal, correct for head size, age5, and some studies also correct for gender, however Mu et al5 found no differences in gender. Although global cerebral atrophy is found in Alzheimer patients 1,7, some parts of the brain are affected worse than other parts, especially the medial temporal lobe area is affected8. Atrophy can be found in the hippocampal, amygdala and entorhinal, perirhinal and parahippocampal cortices in the temporal lobe. Atrophy in these areas results in enlargement of the temporal horn. Total intracranial volume (TIV = WBV    SCF volume), does not differ between non-AD and AD groups7. Therefore TIV can be used as an appropriate parameter to correct for interindividual difference in head size.";"Fill in your group notes here.";"Atrophy, brain"
"Atrophy in perirhinal cortex is seen in Alzheimer patiens. Different experiments show that perirhinal damage result in cognitive impairment, a symptom that is prominent in alzheimer disease 22-24. 
A decrease of volume of 21-42 percentage can be found in alzheimer patients compared t controls 9, 19. Volumetric measurements of the perirhinal cortex have a sensitivity of  73- 85 percentage and a specificity of 62-81 percentage 9, 19. The difference in specificity differs between left and right entorhinal cortices9.";"Fill in your group notes here.";"atrophy, volumetry, cognitive impairment, cerebral atrophy, diagnostics"
"Atrophy in the entorhinal cortex is seen in Alzheimer patients{Teipel, 2006 23 /id}. A reduction of this structure can found between 24-40 % 9, 13, 19-21 in Alzheimer patients compared to controls. Different experiments show that ERC damage result in cognitive impairment 22-24. 
A higher volume loss is found in female compared to male Alzheimer patients. Atrophy of the enthorhinal cortex is also seen in mild cognitive impairment (MCI)25. 
Volumetric measurement of the entorhinal cortex resulted in better diagnostic accuracy because pathology in these structures occur at an earlier stage than in the amygdale or hippocampus9, although some studies showed a more accurate or equal discrimination by hippocampal volumetric measurements 13,15. However some studies showed a superior diagnostic accuracy for entorhinal cortex compared to hippocampal measurements in preclinical AD and patients at risk for AD compare to controls 26, 27. 

In clinical practice hippocampal volumetry has less variability and is easier to use compared to entorhinal measurements.";"Fill in your group notes here.";"atrophy, volumetry, cognitive impairment, cerebral atrophy, diagnostics"
"Since AD is associated with a decrease in memory function and the hippocampus might play a role in memory function, researchers focussed on the degeneration of the hippocampus. Bilateral hippocamal atrophy is found in the brains of Alzheimer patients9. Reduction of the hippocampus for diagnosing is measured in two different ways. By using volumetry of the hippocampus itself or by using volumetry of the AHC (amygdale hippocampal complex).
Volumetric studies of the hippocampus showed a reduction of 25 -39% 10,11,12. When measuring relative size in relation to the total cranial volume even a bigger reduction is found of 45%10. Yearly measurements of hippocampal volumes in Alzheimer patients showed a 3.98 /-1.92% decrease per year (p < 0.001)6. Patients with severe AD disease show higher atrophy rates compared to early or mild AD10,11. 
Correlations are found between hippocampal atrophy and severity of dementia, age 11and sex. Because a correlation is found between age and hippocampal atrophy, volumetric changes should be correct for age and sex. 

For clinical diagnoses it still remains uncertain whether volumetric measurements of the hippocampus alone is the most accurate way, some studies imply so 12. For diagnosing AD by hippocampal volume measurements the sensitivity varies between 77% and 95% and a specificity of 71-92% 9, 11-14. 

The sensitivity and specificity varies due the variance of patients and controls used. Patients varies in severity of disease and controls in these studies included FTP, MCI or non-alzheimer elderly. 

Other studies found that diagnosis based on volumetric changes are comparable for the hippocampus and ERC, but due the more easier use and less variability of hippocampal volumetry, the hippocampus is more feasible for diagnosis 13, 15.  Other studies found that combinations of different volumetric measurements with parahippocampal cortex, ERC14or amygdale (see AHC)  are indeed needed for a more accurate diagnosis of AD patients. AD has some similar atrophic regions compared to Mild Cognitive Impairment (MCI), therefore volumetry of the ERC in combination with hippocampal volumetry can give a more accurate diagnosis of AD 14.


Total intracranial volume (TIV) and temporal horn indices (THI:  ratio of THV to lateral ventricular volume) can be used as surrogate marker for volume loss of hippocampal formation. A negative correlation is found between THI and THV and the declarative reminding test 16.

Some studies indicate that the accuracy of AD diagnosis increases by volumetry of amygdala-hippocampal complex (AHC) compared to only volumetric measurements of the hippocampus 10";"Fill in your group notes here.";"atrophy, volumetry, decreased memory function, cerebral atrophy, amygdala hippocampal complex"
"white matter hyperintensities (WMH) are seen in AD33.WMH appear due an increased signal on T2-weighted and fluid-attenuated inversion recovery (FLAIR) MRI sequences of the brain.WMH are common to the periventricular area of the cognitive normal and cognitive impaired individuals. But the highest intensities are found in AD33.";"Fill in your group notes here.";"risk factor"
"Widened sulci in alzheimer patients due to atrophy seen in several brain regions. The widening of sulci is presented in different sulci, including supracallosal, cingulate, marginal, parieto-occipital, anterior and posterior calcarine sulci, and Sylvian fissures. The widening of the sulci lead to an increased CSF volume.";"Fill in your group notes here.";"enlargement, volumetry, CSF, atrophy"
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
