"keywords";"bigrams";"trigrams"
"cingulate, gyrus, portion, callosum, coronal, corpus, lateral, sulcus, anterior";"of the, cingulate gyrus, corpus callosum, portion of, most extent, lateral most, divided into, used to, the cingulate, by drawing";"acquired magnetic resonance, been placed over, box has been, coronally acquired magnetic"
"transferrin, cells, tau-stable, time, cell, control, exocytosed, fluorescence, min";"mock-transfected cells, and mock-transfected, transferrin fluorescence, Data represent, Fluorescent signals, Note that, Time course, Transferrin recycling, at early, be seen";"Data represent averages, can be seen, cells. Fluorescent signals, each experiment. Data"
"sphincter, 1211, 1218, 2007, al., blood, bosch, dig, dis";"Blood supply, Bosch et, Dig Dis, Dis Sci, Oddi. Dig, The Sphincter, al. The, et al., supply to, the region";"Blood supply to, Bosch et al., Dig Dis Sci, Oddi. Dig Dis"
"3dem, 50s, image";"3DEM model, 50S 3DEM, Projection image, image of, of 50S";"50S 3DEM model, Projection image of, image of 50S, of 50S 3DEM"
"reference, 1998, 323-331., adult, al., bd1, bile, biopsy, crawford";"323-331. Figure, Adult Human, Crawford et, Figure 3G, Human Liver, Liver Biopsy, Magnification x1,000, Normal Adult, Solitary bile, Standard. HEPATOLOGY";"323-331. Figure 3G, Adult Human Liver, Crawford et al., Human Liver Biopsy"
"organotypic, treatment, culture, labelling, cells, hippocampal, double, green, inos";"organotypic hippocampal, an organotypic, neuronal layer, Double labelling, hippocampal cultures, PI staining, plus M-CSF, Neurotoxicity assays, localizes all, round sub-cellular";"4. Immunohistochemical detection, NMDA-induced toxicity due, nuclei. The majority, MIP-1could be detected"
"atlas, dark, images, white, 0.5, 0.65, 1.5, 1988, across";"images were, and images, DWI data, For all, Group-averaged anisotropy, all groups, averaged across, computed from, each group., from DWI";"For all groups, computed from DWI, each group. For, from DWI data"
"alzheimer, brains, disease";"'s disease, Alzheimer 's, Overview of, brains with, human brains, of human, with Alzheimer";"Alzheimer 's disease, Overview of human, brains with Alzheimer, human brains with"
"liver, 16-week, 2002., along, biliary, cells, ck-19, ck-19., crawford.";"of the, 16-week fetus, 2002. Figure, Biliary Tree., CK-19. 16-week, Crawford. Development, Figure 5A, Intrahepatic Biliary, Liver Disease, Magnification x100";"2002. Figure 5A, Biliary Tree. Seminars, CK-19. 16-week fetus, Intrahepatic Biliary Tree."
"left, gyrus, activation, brain, control, cortex, fusiform, group, occipital";"in the, occipital cortex, parahippocampal gyrus, the occipital, The main, applied. Significant, cluster size, color pictures, during encoding, effects analysis";"The main effect, inferior frontal gyrus., minimal cluster size, random effects analysis"
"year, images, baseline, rate, annualmtlatrophy, coronal, declined, healthy, man";"Images in, rate was, remained healthy, annualMTLatrophy rate, healthy at, who remained, by year, of the, 1.2 mm, 6.4 after";"T1-weighted MR images, brain tissue loss, for three representative, from reference 95."
"alzheimer, bfp, blue, color, decreased";"'s disease., Alzheimer 's, BFP in, Decreased BFP, This is, blue color, disease. This, in Alzheimer, is marked, marked with";"'s disease. This, Alzheimer 's disease., BFP in Alzheimer, Decreased BFP in"
"traces, definition, hippocampal, selected, time, 1.5, 24/5, 256x192x124, 26x26x18.6";"on selected, Definition of, of hippocampal, traces on, 1.5 mm, 26x26x18.6 cm, T1-weighted threedimensional, Three-dimensional reconstruction, auxiliary guideline, coronalMRsections from";"T1-weighted threedimensional spoiled, sagittal T1-weighted threedimensional, threedimensional spoiled gradient-echoMRsections, two signals acquired"
"tau, cross-link, immunolabeling, antibody, colocalization, color, confocal, immunofluorescence, indicated";"indicated by, is represented, represented by, the color, AD brain, Confocal colocalization, The white, calibration bars, cortex from, each image";"an optical section, disease -- Steven, paired helical filament, scanning-laser confocal microscopy"
"mri, showing, alignment, colors, contour, csf, different, frontal, images";"CSF were, NAA images, Transaxial NAA, alignment of, contour plot, different colors, indicating slice, lobe. WM, or occipital, rendered with";"CSF were rendered, Transaxial NAA images, indicating slice positions, rendered with different"
"atrophy, found, temporal, alzheimer, cerebral, correct, parts, 1,7, affected";"cerebral atrophy, correct for, Although global, Mu et, affected worse, are affected, areas results, at relative, brain are, clinical stage";"Mu et al5, affected worse than, are affected worse, at relative to"
"areas, subjects, pib, suv, values, 18fdg, cerebellum., circles, compared";"white matter, compared with, cortical areas, matter areas, or white, with cerebellum., in cortical, and compared, mean and, represent the";"boxed circle represents, can be quantified, error bars beside, retention between Alzheimer"
"66-year-old, 85-year-old, example, images, mrsi, naa, parietal, rcms, regions";"66-year-old AD, 85-year-old CN, MRSI voxel, NAA images, RCMS from, an 85-year-old, from MRSI, parietal GM, the regions, Example of";"RCMS from MRSI, an 85-year-old CN, from MRSI voxel, Example of mI"
"activation, displayed, group, 3.5, anatomic, axial, biological, blurring, bottom";"The activation, is displayed, anatomic variation., biological anatomic, blurring from, bottom right, color scale, control volunteers, degree of, from biological";"biological anatomic variation., blurring from biological, degree of blurring, from biological anatomic"
"rows, pib, shown, cerebellar, data, images, retention., suv, two";"shown in, data are, are shown, 4. The, two rows, of PIB, Scale bar, Serial planes, bar indicates, be appreciated";"Scale bar indicates, Serial planes demonstrate, bar indicates relative, best be appreciated"
"reference, 1998, 323-331., adult, al., arteries., biopsy, crawford, figure";"323-331. Figure, Adult Human, Crawford et, Figure 3F, Human Liver, Liver Biopsy, Magnification x1,000, Normal Adult, Portal tract, Standard. HEPATOLOGY";"323-331. Figure 3F, Adult Human Liver, Crawford et al., Human Liver Biopsy"
"apoe, arrow, deposit, image, mainly, represented, 0.5, 1.5, 90.";"mainly represented, represented by, of Ab, 0.5 mm, 1.5 mm., 90. Discrepancy, Colors represents, Fig. 3., Two SPs, as Fig.";"0.5 mm planes., as Fig. 3., be observed from, but they did"
"";"FtsZ-GFP KF41";""
