         11962693 function calls (11724789 primitive calls) in 74.513 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   74.514   74.514 <string>:1(<module>)
       32    0.000    0.000    0.000    0.000 <string>:1(fileno)
       32    0.000    0.000    0.001    0.000 __init__.py:1034(debug)
       32    0.001    0.000    0.001    0.000 __init__.py:1230(getEffectiveLevel)
       32    0.000    0.000    0.001    0.000 __init__.py:1244(isEnabledFor)
        1    0.004    0.004    0.016    0.016 __init__.py:22(<module>)
    37952    0.447    0.000   11.969    0.000 api.py:184(open)
    37952    0.179    0.000    0.296    0.000 api.py:198(encoding)
        1    0.000    0.000    0.000    0.000 ast.py:100(AssList)
        1    0.000    0.000    0.000    0.000 ast.py:1010(Print)
        1    0.000    0.000    0.000    0.000 ast.py:1032(Printnl)
        1    0.000    0.000    0.000    0.000 ast.py:1054(Raise)
        1    0.000    0.000    0.000    0.000 ast.py:1081(Return)
        1    0.000    0.000    0.000    0.000 ast.py:1095(RightShift)
        1    0.000    0.000    0.000    0.000 ast.py:1110(Slice)
        1    0.000    0.000    0.000    0.000 ast.py:1138(Sliceobj)
        1    0.000    0.000    0.000    0.000 ast.py:1154(Stmt)
        1    0.000    0.000    0.000    0.000 ast.py:116(AssName)
        1    0.000    0.000    0.000    0.000 ast.py:1170(Sub)
        1    0.000    0.000    0.000    0.000 ast.py:1185(Subscript)
        1    0.000    0.000    0.000    0.000 ast.py:1208(TryExcept)
        1    0.000    0.000    0.000    0.000 ast.py:1233(TryFinally)
        1    0.000    0.000    0.000    0.000 ast.py:1248(Tuple)
       48    0.000    0.000    0.000    0.000 ast.py:1249(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:1264(UnaryAdd)
        1    0.000    0.000    0.000    0.000 ast.py:1278(UnarySub)
        1    0.000    0.000    0.000    0.000 ast.py:1292(While)
        1    0.000    0.000    0.000    0.000 ast.py:131(AssTuple)
        1    0.000    0.000    0.000    0.000 ast.py:1317(With)
        1    0.000    0.000    0.000    0.000 ast.py:1342(Yield)
        1    0.000    0.000    0.000    0.000 ast.py:147(Assert)
        1    0.000    0.000    0.000    0.000 ast.py:169(Assign)
        1    0.000    0.000    0.000    0.000 ast.py:190(AugAssign)
        1    0.000    0.000    0.000    0.000 ast.py:206(Backquote)
        1    0.000    0.000    0.000    0.000 ast.py:220(Bitand)
        1    0.000    0.000    0.000    0.000 ast.py:23(Node)
        1    0.000    0.000    0.000    0.000 ast.py:236(Bitor)
        1    0.000    0.000    0.000    0.000 ast.py:252(Bitxor)
        1    0.000    0.000    0.000    0.000 ast.py:268(Break)
        1    0.000    0.000    0.000    0.000 ast.py:281(CallFunc)
        1    0.000    0.000    0.000    0.000 ast.py:310(Class)
        1    0.000    0.000    0.000    0.000 ast.py:339(Compare)
        1    0.000    0.000    0.000    0.000 ast.py:35(EmptyNode)
        1    0.000    0.000    0.000    0.000 ast.py:360(Const)
      240    0.001    0.000    0.001    0.000 ast.py:361(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:374(Continue)
        1    0.000    0.000    0.000    0.000 ast.py:38(Expression)
        1    0.000    0.000    0.000    0.000 ast.py:387(Decorators)
        1    0.002    0.002    0.002    0.002 ast.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:403(Dict)
       48    0.000    0.000    0.000    0.000 ast.py:404(__init__)
       48    0.000    0.000    0.000    0.000 ast.py:41(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:419(Discard)
        1    0.000    0.000    0.000    0.000 ast.py:433(Div)
        1    0.000    0.000    0.000    0.000 ast.py:448(Ellipsis)
        1    0.000    0.000    0.000    0.000 ast.py:461(Exec)
       48    0.000    0.000    0.000    0.000 ast.py:47(getChildNodes)
        1    0.000    0.000    0.000    0.000 ast.py:487(FloorDiv)
        1    0.000    0.000    0.000    0.000 ast.py:502(For)
        1    0.000    0.000    0.000    0.000 ast.py:53(Add)
        1    0.000    0.000    0.000    0.000 ast.py:530(From)
        1    0.000    0.000    0.000    0.000 ast.py:546(Function)
        1    0.000    0.000    0.000    0.000 ast.py:585(GenExpr)
