         47362941 function calls in 230.911 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  230.911  230.911 <string>:1(<module>)
       16    2.495    0.156  230.898   14.431 cyttron.py:171(wordMatch)
        1    0.000    0.000  230.911  230.911 cyttron.py:343(listWordMatch)
   150528    1.055    0.000  209.843    0.001 re.py:169(findall)
   150528    3.087    0.000    4.204    0.000 re.py:206(escape)
   150528    2.710    0.000  202.087    0.001 re.py:229(_compile)
   150458    3.295    0.000   12.171    0.000 sre_compile.py:367(_compile_info)
   150458   19.173    0.000   34.833    0.000 sre_compile.py:38(_compile)
   300916    1.299    0.000    1.864    0.000 sre_compile.py:480(isstring)
   150458    1.474    0.000   48.750    0.000 sre_compile.py:486(_code)
   150458    2.547    0.000  197.338    0.001 sre_compile.py:501(compile)
  4236182   16.888    0.000   24.917    0.000 sre_parse.py:144(append)
   150458    6.123    0.000    6.838    0.000 sre_parse.py:146(getwidth)
   150458    0.686    0.000    2.369    0.000 sre_parse.py:184(__init__)
  4687556   30.783    0.000   46.886    0.000 sre_parse.py:188(__next)
   150458    0.335    0.000    0.335    0.000 sre_parse.py:201(match)
  4537098   18.890    0.000   64.093    0.000 sre_parse.py:207(get)
   615998    4.892    0.000    7.859    0.000 sre_parse.py:263(_escape)
   150458    1.764    0.000  137.685    0.001 sre_parse.py:307(_parse_sub)
   150458   32.687    0.000  134.998    0.001 sre_parse.py:385(_parse)
   150458    2.162    0.000  144.121    0.001 sre_parse.py:669(parse)
   150458    0.380    0.000    0.380    0.000 sre_parse.py:73(__init__)
   150458    0.369    0.000    0.369    0.000 sre_parse.py:96(__init__)
       16    0.000    0.000    0.012    0.001 utf_8.py:15(decode)
       16    0.012    0.001    0.012    0.001 {_codecs.utf_8_decode}
   150458    0.716    0.000    0.716    0.000 {_sre.compile}
   150528    6.701    0.000    6.701    0.000 {built-in method findall}
   451374    0.909    0.000    0.909    0.000 {isinstance}
 10141813   18.340    0.000   18.340    0.000 {len}
 13761809   25.764    0.000   25.764    0.000 {method 'append' of 'list' objects}
     1505    0.100    0.000    0.100    0.000 {method 'clear' of 'dict' objects}
       32    0.055    0.002    0.055    0.002 {method 'close' of 'file' objects}
       16    0.000    0.000    0.012    0.001 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       16    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
  1081608    2.171    0.000    2.171    0.000 {method 'get' of 'dict' objects}
   150458    0.289    0.000    0.289    0.000 {method 'items' of 'dict' objects}
   150536    0.366    0.000    0.366    0.000 {method 'join' of 'str' objects}
   301056   14.020    0.000   14.020    0.000 {method 'lower' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       48    0.001    0.000    0.001    0.000 {method 'write' of 'file' objects}
   300916    0.715    0.000    0.715    0.000 {min}
       32    0.004    0.000    0.004    0.000 {open}
  3935266    7.178    0.000    7.178    0.000 {ord}
   150573    0.475    0.000    0.475    0.000 {range}


Finished cy-wordMatch.csv
         47363211 function calls in 236.253 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  236.253  236.253 <string>:1(<module>)
       16    2.545    0.159  236.253   14.766 cyttron.py:171(wordMatch)
        1    0.000    0.000  236.253  236.253 cyttron.py:343(listWordMatch)
   150528    1.073    0.000  212.605    0.001 re.py:169(findall)
   150528    3.146    0.000    4.275    0.000 re.py:206(escape)
   150528    2.730    0.000  204.292    0.001 re.py:229(_compile)
   150459    3.336    0.000   12.329    0.000 sre_compile.py:367(_compile_info)
   150459   19.385    0.000   35.247    0.000 sre_compile.py:38(_compile)
   300918    1.304    0.000    1.874    0.000 sre_compile.py:480(isstring)
   150459    1.488    0.000   49.338    0.000 sre_compile.py:486(_code)
   150459    2.572    0.000  199.501    0.001 sre_compile.py:501(compile)
  4236205   17.078    0.000   25.189    0.000 sre_parse.py:144(append)
   150459    6.215    0.000    6.942    0.000 sre_parse.py:146(getwidth)
   150459    0.702    0.000    2.413    0.000 sre_parse.py:184(__init__)
  4687582   31.100    0.000   47.333    0.000 sre_parse.py:188(__next)
   150459    0.339    0.000    0.339    0.000 sre_parse.py:201(match)
  4537123   19.143    0.000   64.766    0.000 sre_parse.py:207(get)
   616000    4.959    0.000    7.953    0.000 sre_parse.py:263(_escape)
   150459    1.824    0.000  139.097    0.001 sre_parse.py:307(_parse_sub)
   150459   32.931    0.000  136.335    0.001 sre_parse.py:385(_parse)
   150459    2.199    0.000  145.646    0.001 sre_parse.py:669(parse)
   150459    0.393    0.000    0.393    0.000 sre_parse.py:73(__init__)
   150459    0.367    0.000    0.367    0.000 sre_parse.py:96(__init__)
       16    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
       16    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
   150459    0.732    0.000    0.732    0.000 {_sre.compile}
   150528    7.240    0.000    7.240    0.000 {built-in method findall}
   451377    0.923    0.000    0.923    0.000 {isinstance}
 10141869   18.491    0.000   18.491    0.000 {len}
 13761902   26.062    0.000   26.062    0.000 {method 'append' of 'list' objects}
     1504    0.103    0.000    0.103    0.000 {method 'clear' of 'dict' objects}
       32    0.063    0.002    0.063    0.002 {method 'close' of 'file' objects}
       16    0.000    0.000    0.001    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       16    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
  1081610    2.195    0.000    2.195    0.000 {method 'get' of 'dict' objects}
   150459    0.293    0.000    0.293    0.000 {method 'items' of 'dict' objects}
