"string";"# total labels";"total labels";"# unique labels";"unique labels"
"keywords";"0";"";"0";""
"['cingulate', 'gyrus', 'portion', 'callosum', 'coronal', 'corpus', 'lateral', 'sulcus', 'anterior']";"2";"anterior, lateral";"2";"anterior, lateral"
"['transferrin', 'cells', 'tau-stable', 'time', 'cell', 'control', 'exocytosed', 'fluorescence', 'min']";"8";"tau, cell, time, cell, control, fluorescence, stable, cell";"8";"tau, cell, time, cell, control, fluorescence, stable, cell"
"['sphincter', '1211', '1218', '2007', 'al.', 'blood', 'bosch', 'dig', 'dis']";"2";"blood, sphincter";"2";"blood, sphincter"
"['3dem', '50s', 'image']";"1";"image";"1";"image"
"['reference', '1998', '323-331.', 'adult', 'al.', 'bd1', 'bile', 'biopsy', 'crawford']";"4";"adult, bile, reference, biopsy";"4";"adult, bile, reference, biopsy"
"['organotypic', 'treatment', 'culture', 'labelling', 'cells', 'hippocampal', 'double', 'green', 'inos']";"5";"culture, double, double, double, green";"5";"culture, double, double, double, green"
"['atlas', 'dark', 'images', 'white', '0.5', '0.65', '1.5', '1988', 'across']";"2";"white, white";"2";"white, white"
"['alzheimer', 'brains', 'disease']";"1";"disease";"1";"disease"
"['liver', '16-week', '2002.', 'along', 'biliary', 'cells', 'ck-19', 'ck-19.', 'crawford.']";"3";"liver, biliary, week";"3";"liver, biliary, week"
"['left', 'gyrus', 'activation', 'brain', 'control', 'cortex', 'fusiform', 'group', 'occipital']";"5";"brain, activation, group, control, left";"5";"brain, activation, group, control, left"
"['year', 'images', 'baseline', 'rate', 'annualmtlatrophy', 'coronal', 'declined', 'healthy', 'man']";"4";"baseline, rate, man, year";"4";"baseline, rate, man, year"
"['alzheimer', 'bfp', 'blue', 'color', 'decreased']";"2";"color, blue";"2";"color, blue"
"['traces', 'definition', 'hippocampal', 'selected', 'time', '1.5', '24/5', '256x192x124', '26x26x18.6']";"3";"time, definition, definition";"3";"time, definition, definition"
"['tau', 'cross-link', 'immunolabeling', 'antibody', 'colocalization', 'color', 'confocal', 'immunofluorescence', 'indicated']";"4";"tau, antibody, color, cross";"4";"tau, antibody, color, cross"
"['mri', 'showing', 'alignment', 'colors', 'contour', 'csf', 'different', 'frontal', 'images']";"2";"alignment, contour";"2";"alignment, contour"
"['atrophy', 'found', 'temporal', 'alzheimer', 'cerebral', 'correct', 'parts', '1,7', 'affected']";"4";"affected, atrophy, correct, temporal";"4";"affected, atrophy, correct, temporal"
"['areas', 'subjects', 'pib', 'suv', 'values', '18fdg', 'cerebellum.', 'circles', 'compared']";"1";"cerebellum";"1";"cerebellum"
"['66-year-old', '85-year-old', 'example', 'images', 'mrsi', 'naa', 'parietal', 'rcms', 'regions']";"6";"example, old, old, parietal, year, year";"4";"example, old, parietal, year"
"['activation', 'displayed', 'group', '3.5', 'anatomic', 'axial', 'biological', 'blurring', 'bottom']";"6";"activation, group, anatomic, axial, biological, bottom";"6";"activation, group, anatomic, axial, biological, bottom"
"['rows', 'pib', 'shown', 'cerebellar', 'data', 'images', 'retention.', 'suv', 'two']";"3";"data, retention, two";"3";"data, retention, two"
"['reference', '1998', '323-331.', 'adult', 'al.', 'arteries.', 'biopsy', 'crawford', 'figure']";"3";"adult, reference, biopsy";"3";"adult, reference, biopsy"
"['apoe', 'arrow', 'deposit', 'image', 'mainly', 'represented', '0.5', '1.5', '90.']";"2";"deposit, image";"2";"deposit, image"
"[]";"0";"";"0";""
"['fddnp', 'fene', '1.2', '7.4', 'bound', 'pbs', 'binding', 'fibrils', 'fluorescence']";"4";"binding, bound, fluorescence, binding";"4";"binding, bound, fluorescence, binding"
"['vivo', 'bar', 'histological', 'panels', 'scale', 'spatially', 'um.', '200', '26-month-old']";"3";"scale, month, old";"3";"scale, month, old"
"['significant', 'blood', 'brain.', 'color', 'colors', 'correlations', 'dark', 'decrease', 'decreased']";"4";"brain, blood, color, significant";"4";"brain, blood, color, significant"
"['amyloid', 'diffuse', 'distortions', 'mice', 'neuronal', 'pass', 'pdapp', 'process', 'scalebar']";"3";"process, diffuse, pass";"3";"process, diffuse, pass"
"[]";"0";"";"0";""
"['ck-19', 'liver', 'positive', '2002.', '22-week', 'bile', 'biliary', 'ck-19.', 'crawford.']";"5";"liver, bile, biliary, positive, week";"5";"liver, bile, biliary, positive, week"
"['plaque', 'composite', 'enamel', 'resin', '24-h', '4-h', '8-h', '600', 'confocal']";"4";"composite, enamel, resin, plaque";"4";"composite, enamel, resin, plaque"
"['bile', 'liver', '2002.', 'biliary', 'ck-19', 'ck-19.', 'crawford.', 'developing', 'development']";"5";"liver, bile, biliary, development, development";"5";"liver, bile, biliary, development, development"
"['animation', 'cvp']";"0";"";"0";""
"['b-catenin.', 'expression', 'hepatocytes', 'staining', 'al.', 'b-catenin', 'show', 'vein', '10a.']";"3";"vein, expression, staining";"3";"vein, expression, staining"
"['delusions', 'group', 'autobiographic', 'brain', 'comparison', 'coronal', 'history', 'image', 'right']";"6";"brain, group, comparison, image, history, right";"6";"brain, group, comparison, image, history, right"
"['plaque', 'process', 'dense-core', 'neuronal', 'appears', 'around', 'avoiding', 'bar', 'bending']";"4";"process, core, dense, plaque";"4";"process, core, dense, plaque"
"['midgut', 'area', 'autophagy', 'basal', 'bordering', 'calliphora', 'case', 'cell', 'cells']";"9";"cell, area, autophagy, basal, case, cell, midgut, autophagy, cell";"9";"cell, area, autophagy, basal, case, cell, midgut, autophagy, cell"
"['interest', 'ac-pc', 'commissure', 'lobe', 'matter', 'regions', 'right', 'row', 'white']";"7";"commissure, white, interest, lobe, right, row, white";"7";"commissure, white, interest, lobe, right, row, white"
"['apoe', 'immunoreactivity', 'deposit', 'green', 'one', 'plaque', 'represented', 'represents', 'diffuse']";"5";"deposit, diffuse, green, one, plaque";"5";"deposit, diffuse, green, one, plaque"
"['genomic']";"0";"";"0";""
"['frequency', 'wmh', 'alzheimer', 'area', 'cognitive', 'cognitively', 'containing', 'disease', 'displayed']";"3";"disease, area, cognitive";"3";"disease, area, cognitive"
"[]";"0";"";"0";""
"['50s']";"0";"";"0";""
"['images', 'normal', 'subject', 'alzheimer', 'anatomical', 'axial', 'blood', 'bottom', 'disease']";"6";"disease, axial, blood, bottom, subject, normal";"6";"disease, axial, blood, bottom, subject, normal"
"['imaging', 'a,b', 'alzheimer', 'amyloid-b', 'developed', 'disease.', 'fluorescence', 'fluorine', 'mice']";"3";"disease, fluorescence, fluorine";"3";"disease, fluorescence, fluorine"
"[]";"0";"";"0";""
"['left', 'contrast', 'controls', 'cortex', 'inferior', 'maps', 'parietal', 'patients', 'prefrontal']";"4";"contrast, inferior, left, parietal";"4";"contrast, inferior, left, parietal"
"['analyzed', 'asp421', 'bars', 'ca1', 'characteristic', 'contain', 'dystrophic', 'features', 'forming']";"2";"characteristic, contain";"2";"characteristic, contain"
"['concentration', 'disease.', 'progression', 'alzheimer', 'app/ps1', 'brain', 'changes', 'cortex', 'decrease']";"3";"disease, brain, concentration";"3";"disease, brain, concentration"
"['white', 'lobe', 'matter', 'bars', 'adults', 'older', 'anisotropy', 'black', 'comparison']";"6";"anisotropy, black, comparison, white, lobe, white";"6";"anisotropy, black, comparison, white, lobe, white"
"['compared', 'cortex', 'entorhinal', 'alzheimer', 'hippocampal', 'measurements', 'patients', 'accuracy', 'atrophy']";"2";"accuracy, atrophy";"2";"accuracy, atrophy"
"['hippocampal', 'measurement', 't1-weighted', 'boundary', 'cognitive', 'coronal', 'hippocampus.', 'image', 'normal']";"5";"cognitive, image, hippocampus, measurement, normal";"5";"cognitive, image, hippocampus, measurement, normal"
"['atrophy', 'correct', 'found', 'temporal', 'alzheimer', 'cerebral', 'head', 'parts', 'size']";"5";"atrophy, head, correct, size, temporal";"5";"atrophy, head, correct, size, temporal"
"['expression', '1180-1192.', '1999', 'christoffels.', 'development', 'dexamethasone-treated', 'figure', 'gene', 'gradients']";"5";"gene, dexamethasone, development, development, expression";"5";"gene, dexamethasone, development, development, expression"
"['hmscs', 'normal']";"1";"normal";"1";"normal"
"['reference', '1998', '323-331.', 'adult', 'al.', 'biopsy', 'crawford', 'figure', 'hepatic']";"4";"adult, reference, biopsy, hepatic";"4";"adult, reference, biopsy, hepatic"
"['sulci', 'widening', 'alzheimer', 'anterior', 'atrophy', 'brain', 'calcarine', 'csf', 'different']";"3";"brain, atrophy, anterior";"3";"brain, atrophy, anterior"
"['tau', 'distribution', 'mitochondrial', 'cells', 'cells.', 'cho', 'construct', 'constructs', 'different']";"3";"tau, construct, distribution";"3";"tau, construct, distribution"
"[]";"0";"";"0";""
"['cells']";"0";"";"0";""
"['atrophy']";"1";"atrophy";"1";"atrophy"
