"string";"# total labels";"total labels";"# unique labels";"unique labels"
"";"0";"";"0";""
"gyrus, convolutioncircumstances, fortune, parcel, fate, dowry, share, component part, component, dowery, assign, helping, portion, part, serving, allot, lot, constituent, percentage, luck, dower, destinycoronal, lei, wreath, chaplet, garlandcorpus, principal sum, principallateral, lateral pass, sidelongsulcusanterior, prior, front tooth";"12";"tooth, part, part, lot, lateral, pass, percentage, principal, prior, serving, share, sum";"11";"tooth, part, lot, lateral, pass, percentage, principal, prior, serving, share, sum"
"siderophilin, transferrin, beta globulincellular telephone, cellphone, cellular phone, electric cell, jail cell, cell, cadre, mobile phone, prison cell, cubicleclip, sentence, clock, metre, meter, fourth dimension, time, prison term, clock timecellular telephone, cellphone, cellular phone, electric cell, jail cell, cell, cadre, mobile phone, prison cell, cubiclecontrol, see, curb, check, manipulate, verify, master, ascendency, ensure, moderate, dominance, see to it, keep in line, restraint, ascertain, controller, ascendence, hold, insure, ascendance, mastery, control condition, assure, hold in, command, contain, operate, ascendancyfluorescencemin dialect, min, fukkianese, taiwanese, amoy, hokkianese, fukien, minute";"50";"cell, cell, cell, cell, cell, cell, cell, cell, condition, time, cell, cell, cell, cell, cell, cell, cell, cell, check, contain, control, telephone, telephone, dimension, fourth, fourth dimension, fourth, term, hold, hold, line, meter, minute, mobile, mobile, moderate, see, see, sentence, taiwanese, term, to, cell, cell, cell, cell, cell, cell, cell, cell";"25";"cell, condition, time, cell, check, contain, control, telephone, dimension, fourth, fourth dimension, fourth, term, hold, line, meter, minute, mobile, moderate, see, sentence, taiwanese, term, to, cell"
"anatomical sphincter, sphincter, sphincter musclelineage, line of descent, parentage, blood line, descent, bloodline, rake, rip, rakehell, ancestry, stemma, blood, line, roue, stock, pedigree, origin, profligatehieronymus bosch, jerom bos, boschdig up, shot, excavation, hollow, grasp, excavate, barb, comprehend, labour, poke, labor, apprehend, dig out, archeological site, digging, drudge, prod, jab, grok, gibe, travail, cut into, savvy, turn over, compass, delve, moil, stab, fag, shaft, get the picture, dig, grind, slam, toil, jibeorcus, dis";"16";"blood, blood, cut, into, line, line, line, picture, origin, over, pedigree, site, sphincter, sphincter, sphincter, stock";"11";"blood, cut, into, line, picture, origin, over, pedigree, site, sphincter, stock"
"l, 50, fiftyenvision, figure, effigy, image, fancy, see, simulacrum, visualize, ikon, prototype, picture, persona, range of a function, visualise, mental image, epitome, icon, double, look-alike, figure of speech, project, range, paradigm, trope";"12";"image, image, double, double, double, range, range, function, picture, project, see, speech";"10";"image, double, double, double, range, function, picture, project, see, speech"
"point of reference, acknowledgment, reference, mention, reference book, citation, character, reference work, source, credit, book of facts, consultation, extension, address, denotation, reference point, computer address, cite, character reference, quotationgrown, pornographic, full-grown, big, adult, grownup, fully growngall, bilebiopsyjoan crawford, crawford, thomas crawford";"24";"book, book, address, address, address, address, adult, character, character, reference, reference, reference, reference, reference, reference, citation, computer, consultation, source, work, full, point, point, reference point";"14";"book, address, address, adult, character, reference, citation, computer, consultation, source, work, full, point, reference point"
"discourse, discussion, handling, treatment, interventionfinish, acculturation, refinement, cultivation, culture, civilization, polish, civilisationjudge, mark, tag, pronounce, labelcellular telephone, cellphone, cellular phone, electric cell, jail cell, cell, cadre, mobile phone, prison cell, cubicletreble, image, two-baser, doubled, dual, stunt woman, twofold, two-fold, stunt man, duplicate, replicate, threefold, doubling, repeat, two-base hit, double over, reduplicate, forked, two-bagger, double, bivalent, look-alike, three-fold, double up, twice, doubly, duplefleeceable, unripened, viridity, special k, jet, unripe, putting green, greenness, immature, dark-green, light-green, park, putting surface, super acid, green river, honey oil, super c, leafy vegetable, cat valium, greens, k, commons, gullible, green, common, greenish, william green";"61";"acculturation, acid, cell, cell, cell, cell, base, base, base, cat, cell, cell, cell, cell, common, culture, honey, telephone, image, discussion, double, double, double, double, double, double, double, double, double, oil, green, green, green, green, green, green, surface, hit, immature, light, man, mark, mobile, oil, over, park, polish, repeat, replicate, special, three, twice, two, two, two, two, woman, cell, cell, cell, cell";"38";"acculturation, acid, cell, base, base, base, cat, cell, common, culture, honey, telephone, image, discussion, double, double, double, oil, green, surface, hit, immature, light, man, mark, mobile, oil, over, park, polish, repeat, replicate, special, three, twice, two, woman, cell"
"atlas, map collection, atlas vertebra, telamon, book of mapsdour, morose, dark-skinned, saturnine, glum, benighted, wickedness, blue, sullen, darkness, disconsolate, black, sorry, dreary, coloured, dark, gloomy, dismal, drab, shadow, grim, moody, drear, colored, iniquity, sinister, nighttime, dingy, sour, night, non-white, obscure, gloweringenvision, figure, effigy, image, fancy, see, simulacrum, visualize, ikon, prototype, picture, persona, range of a function, visualise, mental image, epitome, icon, double, look-alike, figure of speech, project, range, paradigm, tropegabardine, edward douglas white jr., patrick white, ashen, stanford white, andrew dickson white, ovalbumin, whiten, blank, bloodless, white river, e. b. white, white person, albumen, whitened, white, caucasian, patrick victor martindale white, lily-white, t. h. white, edward d. white, snowy, white-hot, whiteness, edward white, egg white, livid, tweed, theodore harold white, flannel, blanched, elwyn brooks white, clean, andrew d. whitecrosswise, across, crossways";"60";"book, person, vertebra, black, blue, clean, collection, image, image, double, double, double, douglas, range, range, egg white, white, white, white, white, white, white, white, white, white, white, white, white, white, white, white, white, white, white, function, map, hot, picture, ovalbumin, project, see, speech, white, white, white, white, white, white, white, white, white, white, white, white, white, white, white, white, white, white";"24";"book, person, vertebra, black, blue, clean, collection, image, double, double, double, douglas, range, egg white, white, function, map, hot, picture, ovalbumin, project, see, speech, white"
"head, encephalon, learning ability, brainiac, genius, mind, mental capacity, mentality, brainpower, psyche, brain, wit, einstein, nous, masterminddisease";"6";"brain, ability, head, capacity, learning, learning";"6";"brain, ability, head, capacity, learning, learning"
"liver-colored, liveron, alongbiliary, biliouscellular telephone, cellphone, cellular phone, electric cell, jail cell, cell, cadre, mobile phone, prison cell, cubiclejoan crawford, crawford, thomas crawford";"15";"liver, cell, cell, cell, cell, cell, cell, cell, cell, telephone, mobile, cell, cell, cell, cell";"6";"liver, cell, cell, telephone, mobile, cell"
