"string";"# total labels";"total labels";"# unique labels";"unique labels"
"(a) A sagittal reconstruction of a coronally acquired magnetic resonance imaging (MRI) scan, at the level on which the cingulate gyrus was measured. The area outlined represents the portion of the scan used to orient the operator to the landmarks of the cingulate. A box has been placed over the region of interest in one hemisphere. (b) A diagram of the cingulate gyrus divided into the rostral portion of the anterior cingulate (RAC), the caudal portion of the interior cingulate (CAC), and the posterior cingulate (PC). Adjoining landmarks include the corpus callosum (CC), the lateral ventricle (Lat. Vent.), and the thalamus (Thal.). (c) The region of the cingulate gyrus measured in the present study, as delineated on the MRI scan of a control subject. The cingulate gyrus was measured on consecutive normalized coronal slices from the rostral most extent to the marginal ramus of the cingulate sulcus. First, the sagittal view was used to demarcate the cingulate sulcus in each hemisphere. This information was then transferred to the coronal image. Second, the cingulate gyrus was outlined; this began at the lateral most point of the corpus callosum sulcus, continued along the surface of the callosum medially to the interhemispheric fissure, then dorsally to the cingulate sulcus, and then laterally to the lateral most extent of the cingulate sulcus; to surround the portion of the cingulate gyrus to be measured, a straight line was then drawn connecting the lateral most extent of the cingulate and the corpus callosum sulci. Third, the outlined region was then divided into three sections by two lines: the rostral portion of the anterior cingulate (RAC) was identified by drawing a line in the coronal plane at the tip of the corpus callosum, and the caudal portion of the anterior cingulate (CAC) was differentiated
from the posterior cingulate (PC) by drawing a line through the cingulate gyrus in the coronal plane at the level of the mammillary bodies (white matter tracts representing the end of the fornix are used to mark the middle of the mamillary bodies in this plane).";"125";"acquired, and, and, and, and, and, study, anterior, anterior, anterior, are, area, as, at, at, at, at, be, thalamus, scan, scan, scan, corpus callosum, corpus callosum, corpus callosum, corpus callosum, lateral ventricle, box, white matter, caudal, caudal, cingulate gyrus, cingulate gyrus, cingulate gyrus, cingulate gyrus, cingulate gyrus, cingulate gyrus, cingulate gyrus, region, region, region, consecutive, information, magnetic resonance imaging, control, coronal plane, coronal plane, image, diagram, each, end, white, extent, extent, extent, first, fissure, from, from, surface, view, include, interest, into, into, subject, lateral, lateral, lateral, lateral, level, level, line, line, line, operator, marginal, mark, measured, measured, measured, measured, middle, plane, plane, plane, most, most, most, most, one, operator, over, point, posterior, posterior, present, rostral, rostral, rostral, second, second, second, then, then, then, then, then, third, third, three, tip, to, to, to, to, to, to, to, to, to, to, to, two, white";"66";"acquired, and, study, anterior, are, area, as, at, be, thalamus, scan, corpus callosum, lateral ventricle, box, white matter, caudal, cingulate gyrus, region, consecutive, information, magnetic resonance imaging, control, coronal plane, image, diagram, each, end, white, extent, first, fissure, from, surface, view, include, interest, into, subject, lateral, level, line, operator, marginal, mark, measured, middle, plane, most, one, operator, over, point, posterior, present, rostral, second, second, second, then, third, third, three, tip, to, two, white"
"Transferrin recycling is retarded by tau overexpression.
Cells were seeded on cover slips and preincubated with
TMR-labeled transferrin in serum-free medium for 2 h. Excess
transferrin was removed and tau-stable and mock-transfected
cells were fixed in methanol. Residual transferrin fluorescence
was then quantitated and plotted (a). Note that, at early time
points (7 min), the transferrin fluorescence in tau-stable cells is
decreased by z10%, whereas in control cells 50% of transferrin
is exocytosed in the same time interval. 300 cells were quantitated
per time point and cell line. (b) Time course of the exocytosis of
transferrin after equilibration of tau-stable and mock-transfected
cells with fluorescently labeled transferrin. A significant decrease
of exocytosed transferrin can be seen 5Ã10 min after start of the
experiment in tau-stable compared with control cells. Fluorescent
signals were normalized to total cell numbers in each experiment.
Data represent averages of four independent experiments.";"64";"exocytosis, data, tau, tau, tau, tau, tau, and, and, and, and, and, and, cell, cell, at, be, time, time, time, time, can, cell line, cell, cell, serum, control, control, course, cover, each, early, interval, experiment, experiment, fluorescence, fluorescence, for, four, labeled, labeled, line, medium, medium, note, per, point, removed, residual, same, significant, stable, stable, stable, stable, then, to, total, with, with, with, exocytosis, cell, cell";"40";"exocytosis, data, tau, and, cell, at, be, time, can, cell line, cell, serum, control, course, cover, each, early, interval, experiment, fluorescence, for, four, labeled, line, medium, medium, note, per, point, removed, residual, same, significant, stable, then, to, total, with, exocytosis, cell"
"Reference: 
Bosch et al. The Sphincter of Oddi. Dig Dis Sci (2007) 52:1211â1218

Figure 2: 
Blood supply to the region of the sphincter of Oddi";"8";"blood, reference, region, sphincter, sphincter, sphincter of oddi, sphincter of oddi, to";"6";"blood, reference, region, sphincter, sphincter of oddi, to"
"Projection image of 50S 3DEM model";"4";"model, image, model, projection";"4";"model, image, model, projection"
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3G:
Solitary bile duct (BD1). Magnification x1,000.";"14";"human, liver, adult, duct, bile, bile duct, reference, reference, biopsy, standard, quantitative, liver biopsy, normal, standard";"13";"human, liver, adult, duct, bile, bile duct, reference, biopsy, standard, quantitative, liver biopsy, normal, standard"
"Fig. 4. Immunohistochemical detection of IL-1, iNOS and MIP-1 after treatment of organotypic hippocampal cultures with A in combination with
M-CSF. In control cultures treated with vehicle no IL-1, iNOS or MIP-1could be detected at 24 h, 48 h or 72 h. A. IL-1expression after 72 h treatment
with A plus M-CSF. B. Double labelling with ED1 (green) shows that IL-1 (red) expression after 72 h treatment is localized in microglial cells. Double
labelled cells are yellow. C. iNOS expression after 72 h treatment with A plus M-CSF. D. Double labelling of iNOS (red) with GFAP (green) after 72 h
treatment shows double-labelled cells. Only a few cells were double-labelled for ED1 (green) and iNOS (red); insert shows examples. E. MIP-1
immunoreactivity is detected in small round sub-cellular structures after 24 h of treatment with A plus M-CSF. F. Double labelling with ED1 (green)
localizes all MIP-1 (red) expression after 24 h treatment with A plus M-CSF to microglial cells.

Fig. 5. Induction of IL-1, iNOS and MIP-1 after treatment of organotypic hippocampal cultures with LPS. A. IL-1 expression after 24 h treatment with
LPS. B. Double labelling of microglial cells with IL-1 (red) and ED-1 (green) antibodies 24 h after treatment with LPS. Double-labelled cells are yellow.
C. iNOS expression in the organotypic culture after 24 h LPS treatment. D. Double labelling with ED1 (green) shows iNOS-positive cells (red) are microglia.
E. MIP-1immunoreactivity in small round sub-cellular structures throughout the culture after 24 h LPS treatment. F. ED1 (green) double labelling localizes
all MIP-1 (red) expression to microglial cells.

Fig. 6. Neurotoxicity assays in organotypic hippocampal cultures treated
with A in combination with M-CSF, LPS, or NMDA after 24 h. A.
Propidium iodide reacted with control whole organotypic hippocampal
culture showing no toxicity. Bar  300 m. B. Organotypic culture treated
with A(47 M) plus M-CSF (50 ng/ml) for 24 h showing no PI labelling.
C. Propidium iodide image of an organotypic culture treated with LPS (1
mg/ml) for 24 h, demonstrating absence of toxicity. D. NMDA-induced
toxicity due to 3 h of treatment (5 M) shown after propidium iodide
labelling of cell nuclei. The majority of injured cells are localized to the
neuronal layer (arrow). E. Absence of FluoroJade labelling in a section
from an organotypic hippocampal culture after A (47 M) plus M-CSF
(50 ng/ml) treatment for 24 h. F. FluoroJade labelling of cell death in the
neuronal layer (arrow) in a section from an organotypic hippocampal
culture 24 h after NMDA (5 M) treatment.

Fig. 7. Neurotoxicity assays in organotypic hippocampal cultures treated with A in combination with M-CSF, LPS, or NMDA after 72 h. A. Control
organotypic culture showing absence of PI staining. Bar  300 m. B. Absence of PI labelling in an organotypic hippocampal culture after A (47 M)
plus M-CSF (50 ng/ml) treatment for 72 h. C. No PI staining in an organotypic culture treated for 72 h with A(47 M). D. Extensive PI staining in neuronal
layer after 3 h exposure to NMDA (5 M). E. Organotypic culture treated for 72 h with M-CSF (50 ng/ml) showing absence of PI staining.";"180";"death, toxicity, toxicity, toxicity, all, all, and, and, and, and, cell, cell, are, are, are, are, at, be, detection, cell, cell, layer, layer, layer, combination, combination, combination, control, control, control, section, section, culture, culture, culture, culture, culture, culture, culture, culture, culture, culture, culture, exposure, image, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, due, due to, expression, expression, expression, expression, expression, expression, extensive, few, fig, fig, fig, fig, for, for, for, for, for, for, for, from, from, section, section, green, green, green, green, green, green, green, induction, insert, iodide, iodide, iodide, localized, localized, microglia, no, no, no, no, or, or, or, or, positive, propidium iodide, propidium iodide, propidium iodide, red, red, red, red, red, red, red, round, round, section, section, small, small, staining, staining, staining, staining, to, to, to, to, to, whole, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, with, yellow, yellow, cell, cell, cell death, death";"51";"death, toxicity, all, and, cell, are, at, be, detection, cell, layer, combination, control, section, culture, exposure, image, double, double, double, due, due to, expression, extensive, few, fig, for, from, section, green, induction, insert, iodide, localized, microglia, no, or, positive, propidium iodide, red, round, section, small, staining, to, whole, with, yellow, cell, cell death, death"
"Group-averaged anisotropy (A) [0 (dark) to 0.5 (white)] and mean
diffusivity ( ) [0.65 (dark) to 1.5 (white) m2/ms] for the three subject groups. The A
and images were computed from DWI data, transformed into a standard atlas
space and then the A and images were averaged across the 25 individuals within
each group. For all groups the selected slice corresponds to Z = 12 in the atlas of
Talairach and Tournoux (1988).";"32";"data, group, group, all, and, and, and, and, and, anisotropy, standard, each, white, white, for, for, from, mean, into, subject, ms, slice, space, standard, then, three, to, to, to, white, white, within";"22";"data, group, all, and, anisotropy, standard, each, white, for, from, mean, into, subject, ms, slice, space, standard, then, three, to, white, within"
"Overview of human brains with Alzheimer's disease";"5";"disease, alzheimer's disease, human, alzheimer's disease, with";"5";"disease, alzheimer's disease, human, alzheimer's disease, with"
"Reference:
Crawford. Development of the Intrahepatic Biliary Tree. Seminars in Liver Disease, volume 22, number 3, 2002.

Figure 5A:
Immunohistochemistry of the developing liver, stained for CK-19. 16-week fetus, showing individual CK-19âpositive cells along the interface of the parenchyma and portal tract mesenchyme. 
Magnification x100.";"20";"disease, liver disease, fetus, liver, liver, number, and, biliary, reference, development, volume, development, for, intrahepatic, mesenchyme, parenchyma, portal, positive, volume, week";"19";"disease, liver disease, fetus, liver, number, and, biliary, reference, development, volume, development, for, intrahepatic, mesenchyme, parenchyma, portal, positive, volume, week"
"Projection of average brain activation during encoding of color pictures in sagittal, coronal, and transverse directions in the control group and in the patients.
A, Control group (n 5 10, left in picture is left in brain). A one-sample t test random effects analysis (P , .001; uncorrected; minimal cluster size, 108 mm3) was applied. Significant activation is observed in the occipital cortex, fusiform gyri, left parahippocampal gyrus, parietal lobe, and left inferior frontal gyrus.
B, Patients (n 5 11). The main effect of signal increase is seen in the occipital cortex, right parahippocampal gyrus, fusiform gyrus, and cerebellum.";"45";"brain, brain, activation, activation, group, group, analysis, and, and, and, and, cerebellum, inferior frontal gyrus, parietal lobe, average, color, increase, cluster, control, control, control group, control group, during, effect, size, frontal gyrus, signal, inferior, left, left, left, left, lobe, main, picture, observed, one, parahippocampal gyrus, parahippocampal gyrus, parietal, projection, random, right, significant, test";"33";"brain, activation, group, analysis, and, cerebellum, inferior frontal gyrus, parietal lobe, average, color, increase, cluster, control, control group, during, effect, size, frontal gyrus, signal, inferior, left, lobe, main, picture, observed, one, parahippocampal gyrus, parietal, projection, random, right, significant, test"
