"[' horn , tempor , enlarg , age , 002 , account , ad3 , also , alzheim , amygdala , asymmetr , atrophi , call , caus , cortic , either , entorhin , examin , greater ', ' horn , enlarg , age , account , ad3 , alzheim , amygdala , atrophi , hazard , increas , lobe , percentag , size , volum , year , yearli ', ' tempor horn , also call , alzheim patient , amygdala entorhin , atrophi hippocamp , call inferior , caus atrophi , either symmetr , examin volum , greater rel , hazard ad3 , healthi person , higher rate , increas per , increas increas , later ventricl , parahippocamp cortic , patient shown , per year , percentag increas ', ' also call inferior , alzheim patient shown , caus atrophi hippocamp , either symmetr well , greater rel hazard , higher rate ventricular , increas per year , percentag increas per , perirhin parahippocamp cortic , rel hazard ad3 , symmetr well asymmetr , age taken account , increas increas age , enlarg either symmetr , enlarg healthi person , rate ventricular enlarg , ventricular enlarg healthi , call inferior horn , cortic tempor lobe , examin volum tempor ']";"5";"atrophy, atrophy, atrophy, atrophy, atrophy";"1";"atrophy"
"[' atrophi , found , tempor , alzheim , cerebr , correct , gender , lobe , part , patient , affect , affected8 , age5 , al5 , also , although , amygdala , area , area ', ' atrophi , alzheim , gender , lobe , affected8 , age5 , al5 , amygdala , area , brain , diffus , enlarg , head , horn , progress , size , stage , wors ', ' alzheim patient , tempor lobe , cerebr atrophi , affect wors , although global , amygdala entorhin , area affected8 , area result , brain affect , clinic stage , especi medial , et al5 , head size , howev mu , increas progress , look rel , mu et , parahippocamp cortic , perirhin parahippocamp , progress clinic ', ' area result enlarg , brain affect wors , howev mu et , increas progress clinic , look rel normal , mu et al5 , perirhin parahippocamp cortic , progress clinic stage , affect wors part , although global cerebr , clinic stage alzheim , correct head size , lobe area affected8 , part brain affect , studi also correct , al5 found differ , enlarg tempor horn , especi medial tempor , et al5 found , parahippocamp cortic tempor ']";"7";"atrophy, atrophy, atrophy, normal, cerebritis, cerebritis, cerebritis";"3";"atrophy, normal, cerebritis"
"[' sulci , widen , alzheim , anterior , atrophi , brain , calcarin , cingul , csf , differ , due , fissur , includ , increas , lead , margin , occipit , parieto , patient ', ' sulci , widen , alzheim , brain , calcarin , csf , lead , parieto , seen , supracallos , sylvian , volum , widen ', ' alzheim patient , anterior posterior , atrophi seen , brain region , csf volum , due atrophi , includ supracallos , increas csf , lead increas , patient due , posterior calcarin , present differ , seen sever , sever brain , sylvian fissur , widen sulci , calcarin sulci , differ sulci , sulci alzheim , sulci lead ', ' alzheim patient due , anterior posterior calcarin , atrophi seen sever , due atrophi seen , increas csf volum , lead increas csf , patient due atrophi , seen sever brain , sever brain region , posterior calcarin sulci , present differ sulci , sulci alzheim patient , sulci lead increas , sulci present differ , widen sulci alzheim , widen sulci lead , widen sulci present ']";"6";"atrophy, atrophy, atrophy, atrophy, atrophy, atrophy";"1";"atrophy"
"[' bodi , brown , hirano , protein , structur , actin , antibodi , arrow , cortic , filament , helic , hippocampu , histopatholog , irregular , left , like , moder , neurofibrillari , note ', ' brown , hirano , antibodi , hippocampu , histopatholog , note , rod , section , tau , actin , actinin , alzheim , antiserum , aplha , blood , bottom , brownstain , consequ , cortex ', ' hirano bodi , neurofibrillari tangl , pair helic , senil plaqu , brown stain , histopatholog ad , tau protein , abnorm possibl , amyloid protein , antiserum beta , aplha actinin , aris consequ , beta amyloid , blood vessel , bottom figur , build block , burst brownstain , consequ perturb , describ alzheim , elong triangular ', ' abnorm possibl reflect , amyloid protein label , antiserum beta amyloid , aris consequ perturb , beta amyloid protein , blood vessel well , consequ perturb microfila , first describ alzheim , label wall numer , low molecular weight , medial tempor lobe , molecular weight microtubul , numer blood vessel , perturb microfila system , primarili aris consequ , protein label wall , shape inclus easili , structur bottom figur , tropomyosin vinculin aplha , vinculin aplha actinin ']";"0";"";"0";""
"[' amygdala , atrophi , emot , found , hippocampu , reduct , 1994 , accuraci , ahc , also , alzheim , amount , amydala , amygdal , begin , behaviour , chang , cognit , compar ', ' amygdala , hippocampu , reduct , accuraci , ahc , alzheim , amount , amydala , amygdal , atrophi , behaviour , cognit , complex , damag , diagnos , diagnosi , diseas , evid , function ', ' also cognit , alzheim diseas , amydala begin , behaviour also , chang human , compar volumetr , damag alzheim , depend mini , diagnosi increas , earlier hippocampus18 , earli stage , evid amydala , function remain , hippocamp complex , hippocampus18 import , import diagnos , increas volumetri , indic accuraci , intracrani volum , look size ', ' behaviour also cognit , compar volumetr measur , damag alzheim diseas , diagnosi increas volumetri , earlier hippocampus18 import , evid amydala begin , function remain controversi , hippocampus18 import diagnos , major site damag , memori function remain , patient look size , relat total intracrani , site damag alzheim , studi indic accuraci , total intracrani volum , also cognit emot , amount atrophi depend , amydala begin atrophi , atrophi depend mini , atrophi earlier hippocampus18 ']";"9";"atrophy, atrophy, atrophy, atrophy, atrophy, atrophy, disease, disease, disease";"2";"atrophy, disease"
"[' larg , cholangiocyt , loss , duct , secretin , administr , biliari , cartoon , ccl4 , function , prolifer , show , small , 1256 , 1268 , 2002 , accompani , acut , alpini ', ' loss , administr , biliari , cartoon , ccl4 , function , secretin , acut , alpini , apoptosi , bdl , bile , choleresi , concomit , duct , effect , epithelia , epithelium , fig ', ' ccl4 administr , loss function , alpini et , anatom site , apoptosi observ , bdl follow , choleresi restrict , choleret effect , de novo , decreas prolifer , duct function , et al , follow acut , heterogen rat , major anatom , novo respond , prolifer secret , prolif heterogen , rat intrahepat , represent secretori ', ' alpini et al , bdl follow acut , de novo respond , decreas prolifer secret , heterogen rat intrahepat , major anatom site , prolif heterogen rat , represent secretori prolif , respons bdl follow , schemat represent secretori , secretori prolif heterogen , stimul choleresi restrict , follow acut ccl4 , function decreas prolifer , intrahepat biliari epithelium , pathobiolog biliari epithelia , prolifer de novo , prolifer respons bdl , rat intrahepat biliari , select prolifer respons ']";"2";"apoptosis, apoptosis";"1";"apoptosis"
"[' diseas , concentr , progress , acetylaspart , alzheim , app , brain , chang , cortex , decreas , dramat , glu , glutam , hippocampu , increas , mice , min , model , mous ', ' diseas , concentr , progress , alzheim , app , brain , cortex , decreas , glu , hippocampu , increas , mice , min , model , mous , myoinositol , naa , ps1 , spectra ', ' brain app , chang brain , cortex hippocampu , dramat increas , model alzheim , mous model , neurochem chang , obtain voxel , place cortex , ps1 mice , spectra obtain , transgen mous , voxel place , concentr myoinositol , decreas concentr , increas concentr , mice progress , progress transgen , observ diseas , diseas progress ', ' chang brain app , mous model alzheim , neurochem chang brain , obtain voxel place , place cortex hippocampu , spectra obtain voxel , transgen mous model , voxel place cortex , dramat increas concentr , increas concentr myoinositol , progress transgen mous , ps1 mice progress , diseas progress transgen , mice progress diseas , observ diseas progress ']";"7";"disease, disease, disease, disease, disease, disease, disease";"1";"disease"
"[' repeat , tau , termin , cooh , domain , either , tau23 , three , basic , construct , contain , insert , isoform , isoform , k10 , k12 , microtubul , nh2 , prolin ', ' tau , cooh , domain , tau23 , isoform , k10 , k12 , microtubul , nh2 , prolin , side , tail , acid , act , amino , coohtermin , dark , flank , goedert ', ' basic prolin , either side , tau isoform , termin tail , al .,, altern splice , amino acid , contain four , coohtermin flank , et al , flank region , four imperfect , goedert et , high homolog , human cn , mostli axon , occur mostli , predominantli embryon , repeat two , result six ', ' contain four imperfect , coohtermin flank region , et al .,, goedert et al , occur mostli axon , repeat two altern , result six differ , show high homolog , two altern splice , acid residu divid , act microtubul target , amino acid residu , insert repeat two , isoform human cn , microtubul target domain , predominantli embryon isoform , bind domain contain , domain contain four , either coohtermin flank , plu either coohtermin ']";"0";"";"0";""
"[' transferrin , cell , tau , stabl , time , cell , control , exocytos , experi , fluoresc , label , min , mock , quantit , transfect , 300 , averag , compar , cours ', ' transferrin , tau , time , cell , control , experi , fluoresc , min , mock , cours , cover , data , decreas , equilibr , excess , exocytosi , fluoresc , interv , line ', ' stabl mock , control cell , transfect cell , %, wherea , ). note , averag four , cours exocytosi , cover slip , data repres , decreas z10 , fix methanol , fluoresc signal , four independ , free medium , independ experi , normal total , preincub tmr , recycl retard , repres averag , seed cover ', ' averag four independ , cover slip preincub , data repres averag , decreas z10 %,, fluoresc signal normal , four independ experi , repres averag four , seed cover slip , signal normal total , slip preincub tmr , z10 %, wherea , %, wherea control , normal total cell , point cell line , signific decreas exocytos , total cell number , cell number experi , fluoresc quantit plot , min start experi , earli time point ']";"4";"normal, normal, normal, normal";"1";"normal"
"[' cell , tau , stabl , control , expans , neuroblastoma , nucleu , transfect , antibodi , araformaldehyd , arrowhead , bar , bodi , cell , clearli , cluster , compar , contrast , differenti ', ' tau , control , expans , neuroblastoma , nucleu , araformaldehyd , bar , bodi , cell , compar , contrast , faint , furthermor , immunoreact , intens , mock , n2a , ock , overexpress ', ' araformaldehyd tripl , cell bodi , clearli seen , cluster one , compar tabl , endoplasm reticulum , faint signal , fix araformaldehyd , immunoreact visibl , indic posit , induc differenti , label antibodi , neurit rel , neurit process , one side , posit neurit , reduc overexpress , rel cell , reticulum differenti , significantli reduc ', ' cluster one side , endoplasm reticulum differenti , fix araformaldehyd tripl , immunoreact visibl neurit , indic posit neurit , neurit rel cell , posit neurit rel , rel cell bodi , significantli reduc overexpress , visibl neurit process , compar tabl )., expans endoplasm reticulum , one side nucleu , reticulum differenti neuroblastoma , surround entir nucleu , tabl ). furthermor , ), wherea mock , ). contrast control , reduc overexpress tau , er cluster one ']";"7";"neuroblastoma, neuroblastoma, neuroblastoma, differentiating neuroblastoma, neuroblastoma, neuroblastoma, neuroblastoma";"3";"neuroblastoma, differentiating neuroblastoma, neuroblastoma"
