"string";"# total labels";"total labels";"# unique labels";"unique labels"
"Enlarg of the tempor horn ( also call inferior horn ) of the later ventricl 1 , 2 . Thi enlarg can either be symmetr as well as asymmetr . The higher the rate of ventricular enlarg are in healthi person , the greater is rel hazard for AD3 , 4 . When examin the volum of the tempor horn , age should be taken into account , becaus the size of the tempor horn increas with increas age 5 . Yearli measur of the tempor horn in alzheim patient have shown a 14 . 16 /- 8 . 47 percentag increas per year ( p = 0 . 002 ) 6 . Enlarg of the tempor horn is caus by atrophi in the hippocamp , amygdala and entorhin , perirhin and parahippocamp cortic in the tempor lobe .";"1";"atrophy";"1";"atrophy"
"Diffus cerebr atrophi increas with the progress of clinic stage of Alzheim patient . Atrophi should be look at rel to what is normal , correct for head size , age5 , and some studi also correct for gender , howev Mu et al5 found no differ in gender . Although global cerebr atrophi is found in Alzheim patient 1 , 7 , some part of the brain are affect wors than other part , especi the medial tempor lobe area is affected8 . Atrophi can be found in the hippocamp , amygdala and entorhin , perirhin and parahippocamp cortic in the tempor lobe . Atrophi in these area result in enlarg of the tempor horn .";"8";"atrophy, atrophy, atrophy, atrophy, atrophy, normal, cerebritis, cerebritis";"3";"atrophy, normal, cerebritis"
"Widen sulci in alzheim patient due to atrophi seen in sever brain region . The widen of sulci is present in differ sulci , includ supracallos , cingul , margin , parieto - occipit , anterior and posterior calcarin sulci , and Sylvian fissur . The widen of the sulci lead to an increas CSF volum .";"1";"atrophy";"1";"atrophy"
"MR signal chang and histopatholog of AD . AB Note the cortic Hyperintens in the left medial tempor lobe ( white arrow ) and insula cortex ( black arrow ) bilater . These signal abnorm possibl reflect the cortic histopatholog of AD . Note also moder PVH and mild - to - moder SCL . C : Neurofibrillari tangl ( elong or triangular brown stain structur ) and senil plaqu ( irregular or star - burst brownstain Structur ) in the subiculum ( retrocommissur hippocampu ) in AD subject labelad with an antibodi to TAU protein . First describ by Alzheim in 1907 ( 93 ) neurofibrillari tangl are pair helic and straight filament ( 91 ). Tau protein - the low molecular weight microtubul - associ protein of the neuron cytoskeleton - are build block of pair helic filament . D : Antiserum to beta amyloid protein label wall of numer blood vessel as well as senil plaqu one of wich is seen as the irregular patch - like brown stain structur in the bottom of the figur . E : Hirano bodi in the hippocampu . The right half of the section is stain with the standard H E dye . These intraneuron rod - shape inclus are easili seen on the immunostain section ( left use antibodi to actin and neurofila ) as brown rod - like structur but they are less evid when stain by routin H E techniqu Hirano bodi are eosinophil and more subtl . Hirano bodi primarili aris as a consequ of perturb of the microfila system ( ie . actin tropomyosin vinculin and aplha actinin ).";"1";"neuronitis";"1";"neuronitis"
"Togeth with the hippocampu the amygdala is of the major site of damag in Alzheim diseas . The amygdala is involv in emot behaviour and also cognit dure emot chang in human . The role of the amygdala in memori function remain controversi . There is evid that the amydala begin to atrophi earlier than hippocampus18 thi is of import for diagnos AD in a veri earli stage . A reduct of 36 % is found in the amygdal of AD patient when look at the size of the amygdala in relat to total intracrani volum a reduct of 40 % wa found . The amount of atrophi depend on the mini - mental state 10 . Some studi indic that the accuraci of AD diagnosi increas by volumetri of amygdala - hippocamp complex ( AHC ) compar to onli volumetr measur of the hippocampu { Leherici 1994 23 id";"3";"atrophy, atrophy, disease";"2";"atrophy, disease"
"Refer : Alpini et al . The Pathobiolog of Biliari Epithelia . HEPATOLOG 2002 ; 35 : 1256 - 1268 . Fig . 3 . Schemat represent of the secretori and prolif heterogen of the rat intrahepat biliari epithelium . The cartoon show that the major anatom site of secretin - stimul choleresi are restrict to larg ( but not small ) cholangiocyt in larg bile duct . The cartoon also show that larg duct select prolifer in respons to BDL follow acut CCl4 administr . Apoptosi wa observ onli in larg cholangiocyt and thi wa accompani by loss of function with decreas prolifer and secret in larg cholangiocyt and loss of the choleret effect of secretin . Concomit with loss of larg duct function , small cholangiocyt prolifer de novo and respond to secretin to compens for loss of function of larg duct after CCl4 administr .";"1";"apoptosis";"1";"apoptosis"
"The neurochem chang in the brain of APP / PS1 mice with progress of the diseas . The decreas in concentr of N - acetylaspart ( NAA ) and glutam ( Glu ) and a dramat increas in the concentr of myoinositol ( mIn ) are observ with diseas progress in a transgen mous model of Alzheim ' s diseas . The spectra were obtain from the voxel place in the cortex and the hippocampu .";"4";"Alzheimer's disease, disease, disease, disease";"2";"Alzheimer's disease, disease"
"Domain structur of tau isoform and construct . Tau40 is the longest tau isoform in the human CN , occur mostli in axon ( Goedert et al ., 1989 ). It consist of 441 amino acid residu and can be divid into an NH2 - termin project domain and a COOH - termin microtubul bind domain contain four imperfect repeat ( R1√ ê R4 ) and basic prolin - rich sequenc on either side that act as microtubul target domain ( shade dark , P1 , and P2 ). The repeat show high homolog between tau , MAP2 , and MAP4 . The shade NH2 - termin insert and repeat two can be altern splice , result in six differ tau isoform . The predominantli embryon isoform tau23 lack all three insert ( 352 residu ). Tau construct K12 and K10 are deriv from tau23 , they contain three repeat plu either a COOHtermin flank region ( K12 ) or the whole COOH - termin tail ( K10 ). K35 contain three repeat and the basic prolin - rich region on either side , includ the COOH - termin tail . K23 contain all of tau23 except the repeat .";"0";"";"0";""
"Transferrin recycl is retard by tau overexpress . Cell were seed on cover slip and preincub with TMR - label transferrin in serum - free medium for 2 h . Excess transferrin wa remov and tau - stabl and mock - transfect cell were fix in methanol . Residu transferrin fluoresc wa then quantit and plot ( a ). Note that , at earli time point ( 7 min ), the transferrin fluoresc in tau - stabl cell is decreas by z10 %, wherea in control cell 50 % of transferrin is exocytos in the same time interv . 300 cell were quantit per time point and cell line . ( b ) Time cours of the exocytosi of transferrin after equilibr of tau - stabl and mock - transfect cell with fluoresc label transferrin . A signific decreas of exocytos transferrin can be seen 5√ ê 10 min after start of the experi in tau - stabl compar with control cell . Fluoresc signal were normal to total cell number in each experi . Data repres averag of four independ experi .";"1";"normal";"1";"normal"
"The expans of the endoplasm reticulum in differenti neuroblastoma cell is significantli reduc by overexpress of tau . Tau - stabl N2a cell ( a√ ê c ) or ock - transfect cell ( d√ ê f ) were induc to differenti , and then fix in araformaldehyd and tripl - label with antibodi against the ER ( a and d ), tubulin ( b and e ), and tau ( c and f ). In contrast to control cell , z82 % of tau - stabl neuroblastoma cell show the ER cluster at one side of the nucleu ( a ), wherea in mock - transfect cell the ER surround the entir nucleu ( d ; compar Tabl I ). Furthermor , the expans of the ER into the neurit in control cell ( d ) can clearli be seen . In tau - stabl cell , onli a faint signal of ER - immunoreact is visibl in neurit process . The total intens of the ER stain is the same in both cell . Arrowhead in a and d are indic the posit of the neurit rel to the cell bodi . Bar , 10 mm";"5";"neuroblastoma, neuroblastoma, differentiating neuroblastoma, neuroblastoma, neuroblastoma";"3";"neuroblastoma, differentiating neuroblastoma, neuroblastoma"
