"string";"# total labels";"total labels";"# unique labels";"unique labels"
"Cortical section of Tg2576 of 17 months old stained for progranulin (combination of anti-GRN and anti-Grn antibodies). (40x)";"7";"and, combination, section, for, section, old, section";"7";"and, combination, section, for, section, old, section"
"Progranulin is abundantly expressed in neurons and neurites (B; cortex, 11-months-old Tg2576) in association with dense-core plaques. (63x)";"5";"and, core, dense, old, with";"5";"and, core, dense, old, with"
"Progranulin staining in microglia in APPPS1 (cortex, 11 months old). (40x)";"3";"microglia, old, staining";"3";"microglia, old, staining"
"just testing";"1";"testing";"1";"testing"
"Amyloid beta staining (4G8) in microglia in an ALzheimer's disease patient (PSEN G384A, cortex). (40x)";"6";"disease, alzheimer's disease, alzheimer's disease, patient, microglia, staining";"6";"disease, alzheimer's disease, alzheimer's disease, patient, microglia, staining"
"Cortical section of Tg2576 of 10 months stained for Progranulin (combination of anti-GRN and anti-Grn antibodies). (40x)";"6";"and, combination, section, for, section, section";"6";"and, combination, section, for, section, section"
"Alzheimer's disease patients (sporadic and familial PSEN1 G384A) stained for amyloid beta and progranulin as well as both amyloid beta and progranulin. (40x)";"11";"disease, alzheimer's disease, alzheimer's disease, and, and, and, as, as, both, for, well";"8";"disease, alzheimer's disease, alzheimer's disease, and, as, both, for, well"
"Progranulin was not expressed in oligodendrocytes in association with dense-core plaques (white matter, 18 months old). (63x)";"7";"white matter, core, dense, white, old, white, with";"7";"white matter, core, dense, white, old, white, with"
"GFAP staining in astroglia of Tg2576 (cortex, 18 months old). (40x)";"2";"old, staining";"2";"old, staining"
"Progranulin is not abundantly expressed in astrocytes in association with dense-core plaques (cortex, 18 months old Tg2576). (40x)";"4";"core, dense, old, with";"4";"core, dense, old, with"
"Progranuline staining for neurons in Tg2576 (cortex, 11 months old). (63x)";"3";"for, old, staining";"3";"for, old, staining"
"Cortical section from Tg2576 of 10 months stained for amyloid beta (4G8). (40x)";"5";"section, for, from, section, section";"5";"section, for, from, section, section"
"Semi-quantitative scoring of amyloid beta burden and plaque-associated progranulin immunoreactivity for APPPS1 mice showing an age-dependent increase in amyloid beta as well in progranulin reactivity in both cell bodies and cell processes/diffuse staining of dense-core plaques.";"22";"age, and, and, cell, cell, as, associated, increase, both, burden, cell, cell, core, dense, diffuse, quantitative, for, plaque, staining, well, cell, cell";"18";"age, and, cell, as, associated, increase, both, burden, cell, core, dense, diffuse, quantitative, for, plaque, staining, well, cell"
"Cortical section from Tg2576 of 17 months old stained for amyloid beta (4G8) and progranulin (combination of anti-GRN and anti-Grn antibodies). (40x)";"9";"and, and, combination, section, for, from, section, old, section";"8";"and, combination, section, for, from, section, old, section"
"Fill in your private notes here.";"2";"fill, private";"2";"fill, private"
"privatedesc";"0";"";"0";""
"risk factor";"3";"factor, risk, risk factor";"3";"factor, risk, risk factor"
"Representative double and triple staining demonstrating progranulin (Grn) expression in different cell types of the mouse AD brain. Grn is abundantly expressed in microglia (A; cortex, 11-months-old APPPS1) clustering around dense-core plaques stained with anti-A? antibody (p), and in neurons and neurites (B; cortex, 11-months-old Tg2576, open arrows) in association with dense-core plaques (*) but not in astrocytes (C; cortex, 18-months-old Tg2576) or oligodendrocytes (D; white matter, 18-months-old Tg2576). Similarly, intense GRN staining in microglia in AD patients clustered around dense-core plaques (E, cortex, PSEN1-G384A mutation carrier).";"35";"brain, and, and, and, antibody, cell, white matter, cell, core, core, core, dense, dense, dense, double, double, double, white, expression, microglia, microglia, mouse, mutation carrier, old, old, old, old, open, or, staining, staining, white, with, with, cell";"23";"brain, and, antibody, cell, white matter, cell, core, dense, double, double, double, white, expression, microglia, mouse, mutation carrier, old, open, or, staining, white, with, cell"
"Alzheimer's disease patient (PSEN1 G384A) stained for amyloid beta (4G8) and progranulin (anti-GRN antibody). (40x)";"7";"disease, alzheimer's disease, alzheimer's disease, and, antibody, patient, for";"7";"disease, alzheimer's disease, alzheimer's disease, and, antibody, patient, for"
